created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,retweeted_status,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,quoted_status_id,quoted_status_id_str,quoted_status_permalink,quoted_status,text,favorited_by,scopes,display_text_width,quote_count,timestamp_ms,reply_count,filter_level,metadata,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2022-10-28T15:47:43Z,1586021905139916800,1586021905139916801,RT @DrMowinckels: On Wednesday I did a 6 hours workhop on #Quarto using #Rstats and #RStudio for @mpib_berlin . We had an intense day of le…,FALSE,140,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,,FALSE,27,0,FALSE,FALSE,NA,en,NA,NA,,,RT @DrMowinckels: On Wednesday I did a 6 hours workhop on #Quarto using #Rstats and #RStudio for @mpib_berlin . We had an intense day of le…,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-28T15:47:12Z,1586021773627179e3,1586021773627179008,"RT @ivelasq3: And it's a [Quarto]{.wrap}!

Thank you again to @RLadiesSTL and to all who joined Intro to Quarto! For those interested, plea…",FALSE,140,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,,TRUE,33,0,TRUE,FALSE,NA,en,1585652190307184600,1585652190307184642,,,"RT @ivelasq3: And it's a [Quarto]{.wrap}!

Thank you again to @RLadiesSTL and to all who joined Intro to Quarto! For those interested, plea…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-28T15:46:43Z,1586021652424335400,1586021652424335360,"RT @cararthompson: For this week's #TidyTuesday Technical Challenge, I decided to recreate one of @januszbakes's iconic drip cakes using da…",FALSE,140,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,,FALSE,26,0,FALSE,FALSE,NA,en,NA,NA,,,"RT @cararthompson: For this week's #TidyTuesday Technical Challenge, I decided to recreate one of @januszbakes's iconic drip cakes using da…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-28T15:46:28Z,1586021587966230500,1586021587966230529,"RT @PipingHotData: Teaching an #rstats {gtreg} workshop for @rinpharma was a great excuse to build my first #QuartoPub website! 💫

and you…",FALSE,139,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,,FALSE,16,0,FALSE,FALSE,NA,en,NA,NA,,,"RT @PipingHotData: Teaching an #rstats {gtreg} workshop for @rinpharma was a great excuse to build my first #QuartoPub website! 💫

and you…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-28T13:36:50Z,1585988966041342e3,1585988966041341952,"RT @WeAreRLadies: So my week has come to an end, and this will be my last tweet here. I hope some of you have enjoyed this week. I have to…",FALSE,139,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,,FALSE,1,0,FALSE,FALSE,NA,en,NA,NA,,,"RT @WeAreRLadies: So my week has come to an end, and this will be my last tweet here. I hope some of you have enjoyed this week. I have to…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-28T13:33:05Z,1585988020884607e3,1585988020884606976,"RT @rstatsvideo: 📺 New #rstatsvideo: R-Ladies New York (English) - Writing Meaningful Alt-Texts for Data Visualizations in R - Liz Hare
▶ R…",FALSE,140,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,,FALSE,4,0,FALSE,FALSE,NA,en,NA,NA,,,"RT @rstatsvideo: 📺 New #rstatsvideo: R-Ladies New York (English) - Writing Meaningful Alt-Texts for Data Visualizations in R - Liz Hare
▶ R…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-28T13:32:38Z,1585987909672476700,1585987909672476672,"RT @RLadiesAbuja: Are you ready? @BeaMilz @RLadiesGlobal @RLadiesSaoPaulo @qbwoa @rstudio @rstats4ds @rstatstweet 
https://t.co/fkEq071v4m",FALSE,138,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,,FALSE,6,0,FALSE,FALSE,FALSE,en,NA,NA,,,"RT @RLadiesAbuja: Are you ready? @BeaMilz @RLadiesGlobal @RLadiesSaoPaulo @qbwoa @rstudio @rstats4ds @rstatstweet 
https://t.co/fkEq071v4m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-24T07:17:37Z,1584443981563572200,1584443981563572224,"RT @WeAreRLadies: (1/3) Hi everyone, my name is Jennifer. I only started learning R before a job interview around mid-July this year (much…",FALSE,139,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,,FALSE,5,0,TRUE,FALSE,NA,en,NA,NA,,,"RT @WeAreRLadies: (1/3) Hi everyone, my name is Jennifer. I only started learning R before a job interview around mid-July this year (much…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-24T07:17:32Z,1584443961883603e3,1584443961883602947,"RT @RLadiesLondon: We're hosting a hybrid event next week on Wednesday 26th October! #rladies
Come along to hear from @nrennie35  about acc…",FALSE,140,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,,FALSE,12,0,FALSE,FALSE,NA,en,NA,NA,,,"RT @RLadiesLondon: We're hosting a hybrid event next week on Wednesday 26th October! #rladies
Come along to hear from @nrennie35  about acc…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-24T07:17:23Z,1584443923547951e3,1584443923547951104,RT @WeAreRLadies: This week #RLadies curator is @jenhylin https://t.co/cmErqpKEtH,FALSE,81,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,,FALSE,5,0,FALSE,FALSE,FALSE,en,NA,NA,,,RT @WeAreRLadies: This week #RLadies curator is @jenhylin https://t.co/cmErqpKEtH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
